,Job,Job description,skills,education
0,Architect,"Experience 3-7 years of experience in architectural design and project management. Familiarity with sustainable design practices and LEED certification processes. Proven portfolio of completed architectural projects. Experience with client interaction and project presentations. Hard Skills Expertise in architectural design software (AutoCAD, Revit, SketchUp). Knowledge of building codes, zoning laws, and permitting processes. Skill in creating technical documentation and architectural drawings. Understanding of structural engineering principles and construction methods. Proficiency in 3D modeling and visualization tools. Soft Skills Strong creativity and visualization skills. Excellent communication and presentation abilities. Detail-oriented with strong analytical and problem-solving skills. Adaptability to changing project requirements and deadlines. Capacity to work both independently and collaboratively within a team. Education and Certifications A professional degree in architecture from an accredited institution is generally required. Additional certifications and licenses, such as becoming a licensed architect, enhance a candidate’s qualifications. These certifications and memberships are highly valued in the architecture field: Licensed Architect (varies by state or country). LEED Accredited Professional. Certified Passive House Designer (CPHD/C). National Council of Architectural Registration Boards (NCARB) certification. Royal Institute of British Architects (RIBA) chartered membership. American Institute of Architects (AIA) membership. Project Management Professional (PMP) for project management skills. Green Building Certification Institute (GBCI) credentials for expertise in sustainability.","['AutoCAD', 'Revit', 'SketchUp', '3D modeling', 'zoning laws', 'architectural drawings', 'project management', 'technical documentation', 'sustainable design', 'client interaction', 'project presentations', 'building codes', 'permitting processes', 'structural engineering principles', 'construction methods', 'visualization tools', 'presentation abilities', 'problem-solving skills', 'adaptability']","['PhD', 'professional degree in architecture']"
1,Accounting Director,"Responsibilities Lead an effective and comprehensive process for all accounting functions, reconciliations, and month-end close. Manage the financial reporting process, including monthly management reporting, quarterly, and annual reporting. Identify opportunities to improve systems and processes, working with operations, corporate accounting, IT, and others to consistently improve accuracy and efficiency of processing transactions while improving internal controls. Manage and support the regional accounting and reporting team through coaching and a collaborative management style. Qualifications Bachelor’s degree in Finance or Accounting; MBA and/or CPA highly preferred. 10+ years of accounting experience with evidence of assuming roles of greater complexity, responsibility, and accountability during their career. Manufacturing/Heavy Industry experience preferred. Comprehensive knowledge and understanding of Internal Accounting Controls. Strong Oral, Written, and interpersonal communication skills. Proactive attitude with team-oriented, collaborative working style. Advanced Excel ability required. SAP and Hyperion experience preferred. Excellent organizational and project management skills.","['project management', 'communication skills']",['Bachelor']
2,Backend Developer,"Typical duties and responsibilities Designs, configures, tests, and deploys web service applications using a wide variety of toolkits. Documents and maintains applications using best practices and standards. Gathers business needs and formulates that into specific guidelines with which programs will be written. Troubleshooting and resolution of issues related to applications. Creating, testing, and implementing enhancements of applications. Education and experience Bachelor’s degree in a related field or equivalent experience. Minimum 5 (five) years hands-on experience. Required skills and qualifications Excellent written and verbal communication skills. Excellent attention to detail. Experience in Core Java, Spring Boot/MVC/Security. Working knowledge of scripting languages and tools. Excellent multitasking and organization skills. Expertise in application, data, and infrastructure architecture disciplines. Ability to work in a collaborative environment. Preferred qualifications Working knowledge of Java, Python, PHP, Spring, Micronaut, Django, Flask, PostgreSQL, Oracle, and AWS DynamoDB. 8 years of hands-on experience in a related position. Experience working with Agile/Scrum methodologies. Advanced knowledge of SOA/MVC architecture. Passion for industry-wide technology trends and best practices. Strong backend development skills. Innovative and self-driven developer that works well alone and in collaborative environments.","['communication skills', 'Core Java', 'Spring Boot', 'SQL', 'Java', 'Python', 'PHP', 'Micronaut', 'Django', 'Flask', 'PostgreSQL', 'Oracle', 'AWS DynamoDB', 'SOA', 'MVC', 'backend development', 'infrastructure architecture', 'Agile/Scrum']",['Bachelor']
3,Business Analyst,"Major responsibilities Extracts and documents requirements through user stories, use cases, process flow diagrams, etc. Checks that complex requirements are executable, testable, complete, and not ambiguous. Collaborates and builds trusted relationships with business units, development teams, and other stakeholders to gather, analyze, and prioritize requests. Requirements 4+ years of business analysis experience. Must be able to communicate at all levels in an organization, strong problem-solving skills, adaptable, flexible, proactive, and willing to take ownership. Experience with Agile methodology. Ability to write basic to moderately complex SQL queries, as well as technical skills including Word, Excel, PowerPoint, Visio, and Jira (or similar tool). Experience on a variety of simple to complex projects. Strong ability to elicit and document requirements in a clear and concise manner. Bachelor’s Degree in Computer Science, Management Information Systems, Business Administration, or equivalent work experience.","['problem-solving skills', 'SQL', 'PowerPoint', 'Visio', 'Jira', 'NIST']",['Bachelor']
4,Chemical Engineer,"Responsibilities Develop innovative Consumable supplies products for plastic card personalization in a fast-paced environment. Conduct qualification testing and performance evaluation of the card personalization supplies on various hardware platforms. Work with suppliers to develop and qualify consumable supplies. Independently lead and manage projects involving development or continuation support. Conduct experiments and analyze data. Conduct card durability testing. Perform failure analysis for plastic card solutions. Write technical reports. Basic qualifications Bachelor’s degree in Chemistry, Chemical Engineering, or Polymer Science. 5+ years of experience in product development, including formulation development in one or more of the following: polymers, coatings, adhesives, inks, film coating/converting, laminations. Deep understanding of UV-cured, solvent-based, and aqueous chemistries for adhesives, coatings, or ink formulations. Proficient in disciplined product development. Familiar with the phase gate development process. Proficient with MS products: Word, Excel, PowerPoint, Outlook. Ability to travel as needed, approximately 15%. Preferred qualifications MS in Chemistry, Chemical Engineering, or Polymer Science. Proven track record in the formulation of adhesives, coatings, or inks. Experience in card personalization or digital print technologies. Experience in identification document security technologies. Strong technical performance in a fast-paced environment, demonstrated capability in managing multiple development projects at the same time. Competent user of hardware platforms/equipment in conjunction with consumable supplies like print ribbons, inks, laminates, etc. Demonstrated ability to work independently on problems of moderate scope. Strong written and verbal communication skills","['communication skills', 'PowerPoint']",['Bachelor']
5,Civil Engineer,"Typical duties and responsibilities Plan and design projects using survey results, maps, and other data. Analyze construction costs, relevant government regulations, potential environmental hazards, and other factors while planning a project. Submit permit applications to government agencies. Verify that projects comply with all federal, state, and local regulations. Evaluate the results of soil tests to help design foundations to determine the adequacy and strength of foundations. Analyze data from tests on building materials for use in construction projects. Compile cost estimates for materials, equipment and labor. Use design software to plan and design transportation systems, hydraulic systems, and structures. Manage the repair, maintenance, and replacement of public and private infrastructure. Education and experience This position requires a bachelor’s degree in civil engineering or a related field. Some employers prefer job candidates with a master’s degree or PhD for certain positions or career advancement. Required skills and qualifications Analytical, problem-solving and critical-thinking skills. Advanced mathematics skills. Teamwork and interpersonal communication skills. Strong organization skills. Experience with engineering and computer-assisted design (CAD) software. Demonstrated skill in solving highly technical problems. Preferred qualifications Exceptionally organized and creative. Great communication skills. In-depth knowledge of the industry and strong mathematical skills. Idea-driven individual who can come up with innovative solutions and improvements to technical processes.","['communication skills', 'teamwork']","['Bachelor', 'Master', 'PhD']"
6,Cloud Architect,"Responsibilities for the cloud architect include Create high-level product specifications and design documents. Provide the development team with architectural blueprints to follow. Collaborate with various stakeholders to determine software requirements. Test the final product to ensure it is completely functional and meets design requirements. Troubleshoot and resolve issues with coding or design. Present regular progress reports and set goals. Qualifications for the cloud architect include Bachelor’s degree in a technical field. 6+ years of software development experience. Cloud experience, preferably Azure or AWS. J2EE development background. Distributed Computing with Hadoop. ElasticSearch experience preferred.","['Hadoop', 'ElasticSearch', 'Azure']",['Bachelor']
7,Cybersecurity Analyst,"Essential duties Monitor computer networks for security issues. Investigate security breaches and other cybersecurity incidents and lead incident response, documentation, and damage assessment activities. Lead installation of security measures and operate software to protect systems and information infrastructure, including firewalls and data encryption programs. Work with IT security team to perform tests and uncover network vulnerabilities. Work with IT security team to fix detected vulnerabilities to maintain a high-security standard. Stay current on IT security trends, news, and standards. Develop company-wide best practices for IT security. Perform penetration testing. Guide colleagues in installing security software and understanding information security management. Research security enhancements and make recommendations to management. Develop security policy. Analyze system configuration using DoD-approved software and protocols such as DISA STIG using STIGviewer, SCC, and OpenSCAP. Education and experience Bachelor’s degree in Computer Science or related field of study required. Minimum of four (4) years of experience in a combination of risk management, information security, IT, and Cloud work experience. To be considered for this position, you would need to meet, at a minimum, the knowledge, skills, and abilities listed here DOD Secret Security Clearance or ability to obtain one. CompTIA Security+ CE or must have the ability to obtain one within 6 months of start date. Security qualifications a bonus – CISSP, CISM. Demonstrated knowledge of RMF, NIST, NISPOM, system audits, vulnerability scanning, and DCSA security package development are highly desirable. Bachelor’s degree in computer science or related field. 5+ years’ experience in information security or related field. Experience with computer network penetration testing and techniques. Understanding of firewalls, proxies, SIEM, NAC, antivirus, encryption, and IDPS concepts. Ability to identify and mitigate network vulnerabilities and explain how to avoid them. Strong collaborative drive and interpersonal skills. Strong initiative, proactive work ethic and prioritization skills. Trustable judgement and analytical problem-solving skills. Effective execution and decision making. Champion of change and promotes innovation. Strong written and verbal communication skills.","['communication skills', 'problem-solving skills', 'penetration testing', 'firewalls', 'SIEM', 'NAC', 'encryption', 'IDPS', 'RMF', 'NIST', 'NISPOM', 'STIGviewer', 'OpenSCAP']",['Bachelor']
8,Customer Service Manager,"Typical duties and responsibilities Oversee the customer service team. Manage and train customer service associates. Set reasonable customer satisfaction goals and work with the team to meet them consistently. Interact with customers, responding to their questions and guiding them to the appropriate service. Create and implement programs to improve customer service experiences. Education and experience A bachelor’s degree in business administration or a related field is required for this position. Required skills and qualifications Several years of experience in customer service. Ability to translate your skills to other employees through training and mentoring. Excellent verbal and written communication skills. Proficiency with Microsoft Office Suite. Preferred qualifications High prioritization skills and process orientation. Ability to embrace the mindset of continuous improvement and actively contribute to the process and procedure of the team. Superb written and verbal communication skills. Positive attitude, empathy, and high energy. Strong customer-facing and presentation skills with the ability to establish credibility with executives.","['communication skills', 'NIST', 'customer service', 'training and mentoring', 'Microsoft Office Suite']",['Bachelor']
9,Full Stack Developer,"Typical duties and responsibilities Ideate, develop, and implement software solutions. Design client and server-side architecture. Create and maintain databases and applications. Create appealing front-end applications. Design and test effective and efficient functionality. Create and update technical documentation. Troubleshoot, debug, and update software. Education and experience Degree in computer science, statistics, or another related field. 2+ years proven experience as a full stack developer or related role. Required skills and qualifications Excellent teamwork skills. Exceptional attention to detail. Master of time management and organization. Working knowledge of numerous languages and frameworks. Working knowledge of databases, web servers, and UX/UI design. A keen analytical mind with a creative flair. Preferred qualifications Bachelor’s degree in computer science or computer engineering. 3-5 years experience in a full stack developer position. Extensive experience with web application frameworks. High proficiency in C#, Python, TypeScript, JavaScript, HTML5, CSS3, SASS, PowerShell, and T-SQL. Experience working in a team environment. Experience with Microsoft 365 products. Experience with Azure cloud computing.","['technical documentation', 'teamwork', 'SQL', 'Java', 'Python', 'time management', 'UX/UI design', 'C#', 'TypeScript', 'JavaScript', 'HTML5', 'CSS3', 'SASS', 'PowerShell', 'T-SQL', 'Azure', 'cloud computing', 'Microsoft 365']","['Bachelor', 'Master']"
